Popolazione straniera iscritta in anagrafe per municipio, sesso e cittadinanza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Roma Capitale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31-dic-13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cittadinanza;Continente Politico;Municipio e sesso;;;;;;;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;;;;;;;Municipio e sesso;;;;;;Totale ;;
;;1 (1+17);;;2 (2+3);;;3;;;4;;;5 (6+7);;;6;;;7 (9+10);;;8;;;9;;;10;;;11;;;12;;;13;;;14;;;15;;;N.L.;;;;;
;;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT
ROMANIA;EUROPA COMUNITARIA;1.681;2.094;3.775;427;1.831;2.258;1118;2078;3196;1.558;2.022;3.580;3.223;4.322;7.545;11182;10.706;21.888;2.325;3.698;6.023;1.608;2.310;3.918;527;1.313;1.840;4.135;4.834;8.969;2460;2.912;5.372;1.182;1.927;3.109;1.802;2.309;4.111;1.924;2.758;4.682;3.287;4.167;7.454;210;173;383;38.649;49.454;88.103
FILIPPINE;ASIA;1354;2.441;3.795;1.788;3.176;4.964;1397;1803;3200;503;627;1.130;1142;1469;2611;353;505;858;1071;1546;2617;650;996;1646;596;873;1.469;430;582;1012;1291;1511;2.802;954;1463;2.417;1167;1523;2690;1.724;2.352;4.076;1999;2.904;4.903;8;14;22;16.427;23.785;40.212
BANGLADESH;ASIA;5.586;489;6.075;401;114;515;672;272;944;710;259;969;3733;1902;5635;3.232;565;3.797;1.789;775;2.564;292;120;412;859;347;1206;397;140;537;814;388;1.202;457;172;629;352;119;471;301;114;415;192;72;264;9;2;11;19.796;5.850;25.646
REP. POP. CINESE;ASIA;1629;1392;3.021;155;166;321;209;213;422;301;306;607;2097;1987;4084;1348;1265;2613;895;943;1838;152;129;281;273;276;549;177;163;340;334;303;637;98;122;220;153;124;277;132;139;271;75;87;162;14;8;22;8.042;7.623;15.665
PERU';AMERICA DEL SUD;371;677;1048;360;846;1206;332;520;852;323;445;768;608;876;1484;435;612;1047;584;919;1503;132;224;356;228;390;618;205;299;504;241;401;642;159;372;531;332;531;863;546;861;1407;676;1037;1713;12;18;30;5.544;9.028;14.572
POLONIA;EUROPA COMUNITARIA;448;691;1.139;128;489;617;208;561;769;179;397;576;331;680;1011;277;495;772;290;720;1010;195;434;629;149;361;510;716;1148;1864;239;490;729;247;540;787;274;561;835;451;845;1296;292;506;798;7;12;19;4.431;8.930;13.361
UCRAINA;EUROPA NON COMUNITARIA;295;1316;1611;112;873;985;136;742;878;142;580;722;226;818;1044;195;640;835;229;1144;1373;129;580;709;106;646;752;282;867;1149;92;432;524;98;449;547;125;503;628;160;696;856;130;543;673;12;34;46;2.469;10.863;13.332
EGITTO;AFRICA;554;146;700;147;75;222;305;135;440;307;136;443;1050;548;1598;892;275;1167;474;205;679;126;54;180;290;103;393;948;307;1255;938;461;1399;348;177;525;265;104;369;413;182;595;241;94;335;14;6;20;7.312;3.008;10.320
INDIA;ASIA;811;418;1.229;239;340;579;187;145;332;136;76;212;575;301;876;692;285;977;237;265;502;132;127;259;196;171;367;139;111;250;317;258;575;224;333;557;415;482;897;354;372;726;231;281;512;15;14;29;4.900;3.979;8.879
SRI LANKA;ASIA;360;327;687;488;468;956;135;96;231;105;92;197;256;210;466;269;143;412;128;96;224;201;176;377;148;128;276;765;616;1381;99;87;186;97;93;190;166;129;295;375;293;668;1183;970;2153;4;4;8;4.779;3.928;8.707
MOLDOVA;EUROPA NON COMUNITARIA;147;335;482;58;297;355;129;329;458;149;281;430;340;606;946;485;679;1164;220;502;722;264;422;686;95;248;343;311;453;764;110;212;322;76;220;296;106;211;317;178;308;486;347;515;862;4;9;13;3.019;5.627;8.646
ECUADOR;AMERICA DEL SUD;216;376;592;216;512;728;187;302;489;96;177;273;338;492;830;235;323;558;294;439;733;101;190;291;131;216;347;95;145;240;78;151;229;53;121;174;220;295;515;389;590;979;619;856;1475;11;16;27;3.279;5.201;8.480
ALBANIA;EUROPA NON COMUNITARIA;123;153;276;124;142;266;132;153;285;344;308;652;418;372;790;861;808;1669;285;303;588;232;188;420;114;102;216;251;224;475;123;108;231;100;93;193;211;185;396;286;221;507;99;125;224;4;2;6;3.707;3.487;7.194
MAROCCO;AFRICA;125;91;216;89;126;215;149;137;286;88;72;160;583;381;964;816;482;1298;199;208;407;95;111;206;111;109;220;141;107;248;82;72;154;68;76;144;94;76;170;159;119;278;138;132;270;10;13;23;2.947;2.312;5.259
FRANCIA;EUROPA COMUNITARIA;502;677;1.179;298;409;707;52;91;143;27;55;82;34;82;116;31;53;84;71;139;210;60;132;192;89;145;234;87;141;228;23;67;90;90;147;237;84;98;182;62;109;171;166;250;416;2;7;9;1.678;2.602;4.280
SPAGNA;EUROPA COMUNITARIA;345;356;701;261;414;675;42;90;132;36;60;96;55;149;204;26;82;108;83;182;265;79;91;170;59;87;146;38;111;149;54;124;178;76;186;262;186;307;493;30;109;139;177;206;383;11;24;35;1.558;2.578;4.136
NIGERIA;AFRICA;668;254;922;13;23;36;17;28;45;49;51;100;94;119;213;1056;965;2021;64;122;186;24;26;50;15;15;30;25;32;57;13;18;31;17;13;30;53;67;120;13;44;57;74;48;122;6;6;12;2.201;1.831;4.032
ERITREA;AFRICA;2064;580;2644;38;118;156;13;23;36;25;41;66;241;176;417;78;103;181;47;69;116;1;15;16;18;35;53;10;18;28;4;15;19;5;17;22;16;38;54;9;34;43;20;73;93;2;2;4;2.591;1.357;3.948
BRASILE;AMERICA DEL SUD;181;355;536;71;170;241;40;155;195;39;83;122;78;153;231;50;149;199;116;273;389;49;128;177;53;117;170;45;168;213;63;179;242;74;177;251;125;204;329;62;184;246;61;223;284;6;7;13;1.113;2.725;3.838
GERMANIA;EUROPA COMUNITARIA;275;346;621;109;193;302;25;73;98;27;35;62;33;58;91;17;31;48;41;105;146;27;64;91;58;69;127;59;108;167;33;76;109;103;199;302;104;142;246;26;83;109;79;145;224;6;9;15;1.022;1.736;2.758
COLOMBIA;AMERICA DEL SUD;184;178;362;52;102;154;61;114;175;41;62;103;148;190;338;104;107;211;76;133;209;58;72;130;49;57;106;38;73;111;51;82;133;42;75;117;84;85;169;73;127;200;82;124;206;5;2;7;1.148;1.583;2.731
REGNO UNITO;EUROPA COMUNITARIA;307;326;633;106;152;258;45;51;96;26;29;55;46;44;90;10;17;27;76;82;158;59;84;143;81;126;207;98;194;292;34;25;59;87;102;189;39;54;93;47;70;117;119;159;278;9;4;13;1.189;1.519;2.708
ETIOPIA;AFRICA;342;303;645;37;122;159;26;62;88;41;70;111;144;240;384;113;187;300;75;131;206;16;46;62;18;47;65;48;83;131;34;68;102;11;46;57;37;55;92;24;71;95;31;98;129;2;5;7;999;1.634;2.633
AFGHANISTAN;ASIA;2120;25;2145;13;1;14;16;5;21;16;1;17;27;5;32;62;2;64;16;3;19;27;2;29;2;1;3;5;0;5;22;0;22;7;1;8;55;0;55;7;0;7;5;1;6;0;0;0;2.400;47;2.447
TUNISIA;AFRICA;188;49;237;31;32;63;58;61;119;66;39;105;198;132;330;271;150;421;128;88;216;57;33;90;45;31;76;84;66;150;100;49;149;33;26;59;54;46;100;66;45;111;65;57;122;4;3;7;1.448;907;2.355
PAKISTAN;ASIA;844;40;884;32;9;41;14;5;19;34;16;50;234;84;318;326;98;424;69;30;99;25;13;38;12;12;24;75;19;94;29;13;42;15;8;23;53;13;66;47;23;70;39;18;57;1;0;1;1.849;401;2.250
STATI UNITI D'AMERICA;AMERICA DEL NORD;329;288;617;108;153;261;25;50;75;10;18;28;19;32;51;12;20;32;48;72;120;51;78;129;57;63;120;41;64;105;14;34;48;80;95;175;78;64;142;30;52;82;81;152;233;2;6;8;985;1241;2.226
BULGARIA;EUROPA COMUNITARIA;62;192;254;39;120;159;18;96;114;30;76;106;48;131;179;107;159;266;31;162;193;33;76;109;21;60;81;66;140;206;18;53;71;17;70;87;17;70;87;33;92;125;43;97;140;2;2;4;585;1596;2.181
BOSNIA-ERZEGOVINA;EUROPA NON COMUNITARIA;73;64;137;1;5;6;25;31;56;153;126;279;39;39;78;63;59;122;41;37;78;282;260;542;117;100;217;10;11;21;111;119;230;4;6;10;28;26;54;54;75;129;1;6;7;72;54;126;1074;1.018;2.092
EX JUGOSLAVIA;EUROPA NON COMUNITARIA;63;50;113;19;34;53;16;14;30;121;107;228;175;172;347;194;178;372;44;43;87;65;72;137;37;36;73;35;29;64;37;32;69;14;8;22;47;51;98;49;40;89;27;36;63;37;43;80;980;945;1.925
SOMALIA;AFRICA;1264;250;1514;31;48;79;20;31;51;11;14;25;20;21;41;15;18;33;6;12;18;6;8;14;14;9;23;8;13;21;4;3;7;1;7;8;12;9;21;5;17;22;18;25;43;0;0;0;1.435;485;1.920
FEDERAZIONE RUSSA;EUROPA NON COMUNITARIA;62;202;264;36;115;151;13;78;91;11;59;70;16;80;96;14;54;68;33;169;202;24;93;117;17;78;95;43;121;164;15;66;81;17;73;90;30;84;114;12;62;74;27;92;119;3;1;4;373;1.427;1.800
REP. ISLAMICA DELL'IRAN;ASIA;234;82;316;46;65;111;61;72;133;55;57;112;45;30;75;53;51;104;31;53;84;69;67;136;16;17;33;30;19;49;12;14;26;21;21;42;40;39;79;30;28;58;100;79;179;1;0;1;844;694;1.538
SENEGAL;AFRICA;319;49;368;17;5;22;34;20;54;28;9;37;275;43;318;144;49;193;65;14;79;31;17;48;12;6;18;35;20;55;29;7;36;34;7;41;27;6;33;123;22;145;44;33;77;5;2;7;1222;309;1.531
REP. DI MACEDONIA;EUROPA NON COMUNITARIA;28;7;35;11;10;21;64;44;108;20;16;36;26;14;40;72;47;119;25;29;54;99;62;161;8;4;12;72;38;110;38;34;72;26;10;36;235;149;384;146;79;225;53;40;93;10;6;16;933;589;1.522
REP. DI CAPO VERDE;AFRICA;41;137;178;44;196;240;9;38;47;35;54;89;16;43;59;31;56;87;15;39;54;17;32;49;5;20;25;7;24;31;14;25;39;7;22;29;19;42;61;39;92;131;123;275;398;0;3;3;422;1098;1.520
COSTA D'AVORIO;AFRICA;1041;88;1129;0;1;1;12;13;25;9;4;13;24;23;47;87;15;102;5;11;16;9;8;17;4;1;5;16;5;21;10;0;10;11;4;15;13;8;21;9;5;14;11;13;24;1;0;1;1262;199;1.461
CUBA;AMERICA CENTRALE;27;51;78;8;25;33;30;63;93;24;81;105;49;90;139;46;93;139;57;128;185;17;50;67;17;41;58;35;86;121;24;48;72;21;43;64;15;44;59;18;62;80;20;61;81;2;2;4;410;968;1.378
REP. DOMINICANA;AMERICA CENTRALE;11;55;66;9;58;67;26;38;64;25;37;62;32;60;92;51;73;124;55;107;162;19;32;51;9;13;22;14;33;47;15;17;32;20;38;58;19;31;50;21;61;82;85;148;233;0;1;1;411;802;1.213
MESSICO;AMERICA CENTRALE;86;134;220;18;53;71;10;26;36;8;12;20;15;19;34;14;18;32;15;42;57;16;17;33;30;38;68;7;16;23;9;17;26;75;45;120;237;91;328;9;14;23;14;62;76;14;9;23;577;613;1.190
GIAPPONE;ASIA;53;114;167;27;66;93;14;56;70;12;49;61;8;31;39;4;21;25;24;78;102;57;75;132;22;45;67;4;44;48;11;35;46;17;55;72;19;33;52;14;24;38;13;45;58;0;2;2;299;773;1.072
ALGERIA;AFRICA;62;18;80;34;17;51;34;27;61;44;33;77;114;52;166;64;42;106;32;18;50;15;7;22;35;19;54;20;11;31;64;30;94;16;8;24;8;6;14;21;22;43;18;16;34;4;0;4;585;326;911
EX COREA;ASIA;91;44;135;10;25;35;15;18;33;38;45;83;16;23;39;29;26;55;65;67;132;21;24;45;28;14;42;9;17;26;4;12;16;49;41;90;41;45;86;6;16;22;24;39;63;0;0;0;446;456;902
ARGENTINA;AMERICA DEL SUD;61;84;145;55;53;108;15;20;35;13;15;28;25;23;48;19;22;41;23;38;61;34;14;48;18;22;40;27;37;64;9;23;32;10;38;48;26;20;46;26;35;61;36;51;87;4;3;7;401;498;899
BOLIVIA;AMERICA DEL SUD;25;62;87;25;59;84;19;36;55;21;27;48;32;60;92;12;15;27;27;49;76;13;24;37;15;14;29;3;13;16;14;27;41;16;28;44;22;33;55;36;75;111;30;59;89;0;0;0;310;581;891
PORTOGALLO;EUROPA COMUNITARIA;90;85;175;51;90;141;12;13;25;10;15;25;12;26;38;10;16;26;8;20;28;11;21;32;23;27;50;7;21;28;8;18;26;7;17;24;23;35;58;21;31;52;54;74;128;1;2;3;348;511;859
TURCHIA;EUROPA NON COMUNITARIA;502;44;546;19;15;34;6;3;9;5;4;9;38;17;55;18;8;26;17;13;30;9;11;20;11;11;22;20;20;40;18;10;28;8;4;12;8;3;11;6;2;8;3;5;8;0;1;1;688;171;859
GRECIA;EUROPA COMUNITARIA;63;54;117;84;52;136;22;40;62;30;24;54;45;18;63;13;16;29;60;42;102;22;22;44;18;24;42;28;24;52;11;9;20;17;14;31;18;9;27;6;13;19;29;20;49;1;2;3;467;383;850
IRAQ;ASIA;588;45;633;8;6;14;4;3;7;3;1;4;14;7;21;22;18;40;13;17;30;4;2;6;1;6;7;5;2;7;2;1;3;3;3;6;17;1;18;23;7;30;9;8;17;0;0;0;716;127;843
GEORGIA;ASIA;12;61;73;10;66;76;15;50;65;13;41;54;6;92;98;3;24;27;18;110;128;3;28;31;4;35;39;7;37;44;3;23;26;1;39;40;5;30;35;4;28;32;0;26;26;0;0;0;104;690;794
REP. DEMOC. DEL CONGO;AFRICA;128;89;217;8;15;23;15;26;41;6;12;18;20;16;36;23;22;45;11;9;20;10;10;20;8;3;11;10;12;22;4;11;15;17;31;48;38;34;72;19;37;56;7;19;26;2;0;2;326;346;672
CROAZIA;EUROPA NON COMUNITARIA;60;65;125;4;33;37;6;21;27;10;18;28;16;32;48;18;27;45;9;42;51;31;27;58;17;20;37;19;20;39;2;12;14;6;22;28;12;25;37;11;24;35;18;35;53;3;2;5;242;425;667
