Popolazione straniera iscritta in anagrafe al 31 dicembre 2014 per municipio, sesso e cittadinanza;;;;;;;;;;;Popolazione straniera iscritta in anagrafe al 31 dicembre 2014 per municipio, sesso e cittadinanza;;;;;;;;;;;;;;;;;;;;Popolazione straniera iscritta in anagrafe al 31 dicembre 2014 per municipio, sesso e cittadinanza;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cittadinanza;Continente Politico;Municipio e sesso;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;;;;Totale ;;
;;1;;;2;;;3;;;4;;;5;;;6;;;7;;;8;;;9;;;10;;;11;;;12;;;13;;;14;;;15;;;n.i.;;;;;
;;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF
ROMANIA;EUROPA COMUNITARIA;1.537;2.135;3.672;411;1.864;2.275;1.079;2.070;3.149;1.547;2.070;3.617;3.131;4.415;7.546;11.132;10.870;22.002;2.339;3.814;6.153;521;1.343;1.864;1.624;2.352;3.976;4.159;4.943;9.102;2.439;2.990;5.429;1.168;2.003;3.171;1.821;2.346;4.167;1.873;2.784;4.657;3.295;4.293;7.588;10;6;16;38.086;50.298;88.384
FILIPPINE;ASIA;1.297;2.380;3.677;1.762;3.115;4.877;1.439;1.865;3.304;531;670;1.201;1.188;1.518;2.706;344;500;844;1.074;1.511;2.585;606;877;1.483;638;972;1.610;453;617;1.070;1.311;1.569;2.880;960;1.447;2.407;1.196;1.532;2.728;1.808;2.383;4.191;1.974;2.899;4.873;0;7;7;16.581;23.862;40.443
BANGLADESH;ASIA;6.727;544;7.271;436;126;562;731;307;1.038;717;276;993;3.871;1.990;5.861;3.856;598;4.454;1.828;797;2.625;929;380;1.309;301;120;421;426;152;578;930;431;1.361;545;192;737;388;141;529;315;121;436;210;85;295;3;0;3;22.213;6.260;28.473
REP. POP. CINESE;ASIA;1.526;1.405;2.931;172;178;350;236;237;473;301;303;604;2.171;2.084;4.255;1.332;1.271;2.603;962;1.019;1.981;302;300;602;149;131;280;198;182;380;332;297;629;106;135;241;153;142;295;137;147;284;81;84;165;4;2;6;8.162;7.917;16.079
PERU';AMERICA DEL SUD;379;699;1.078;364;832;1.196;329;514;843;313;451;764;595;846;1.441;416;593;1.009;570;902;1.472;231;370;601;137;220;357;201;280;481;228;383;611;153;357;510;328;505;833;551;836;1.387;672;1.014;1.686;1;1;2;5.468;8.803;14.271
UCRAINA;EUROPA NON COMUNITARIA;299;1.384;1.683;117;889;1.006;139;726;865;144;585;729;242;861;1.103;194;647;841;240;1.171;1.411;107;655;762;127;585;712;290;905;1.195;103;450;553;101;474;575;136;537;673;162;729;891;119;526;645;0;0;0;2.520;11.124;13.644
POLONIA;EUROPA COMUNITARIA;405;662;1.067;125;481;606;192;518;710;175;377;552;297;621;918;274;485;759;273;694;967;138;356;494;184;421;605;660;1.093;1.753;236;470;706;244;543;787;249;528;777;428;818;1.246;271;474;745;2;2;4;4.153;8.543;12.696
EGITTO;AFRICA;609;175;784;146;72;218;319;131;450;335;146;481;989;512;1.501;1.024;263;1.287;473;205;678;277;92;369;145;52;197;917;311;1.228;933;418;1.351;339;169;508;243;99;342;398;188;586;232;114;346;2;0;2;7.381;2.947;10.328
INDIA;ASIA;758;449;1.207;246;346;592;190;160;350;155;84;239;577;332;909;745;299;1.044;240;251;491;203;185;388;147;134;281;142;123;265;329;269;598;253;345;598;373;447;820;364;389;753;250;284;534;1;5;6;4.973;4.102;9.075
